Country,daly04_100k,death08_100k,death04_100k,daly04_1k,death08_1k,death04_1k
Afghanistan,138,21,4,6091,1028,178
Albania,6,0,0,13,0,0
Algeria,46,1,1,1427,35,43
Andorra,1,0,0,0,0,0
Angola,1322,11,39,39606,364,1155
Antigua and Barbuda,0,0,0,0,0,0
Argentina,24,0,1,786,9,23
Armenia,82,2,2,166,3,5
Australia,0,0,0,2,0,0
Austria,0,0,0,2,0,0
Azerbaijan,137,2,4,903,12,27
Bahamas,1,0,0,0,0,0
Bahrain,1,0,0,1,0,0
Bangladesh,121,2,4,21301,304,623
Barbados,0,0,0,0,0,0
Belarus,0,0,0,0,0,0
Belgium,0,0,0,2,0,0
Belize,0,0,0,0,0,0
Benin,174,8,5,2253,123,65
Bhutan,0,0,0,0,0,0
Bolivia (Plurinational State of),265,0,8,3259,0,96
Bosnia and Herzegovina,1,1,0,2,2,0
Botswana,20,4,1,43,9,1
Brazil,38,0,1,6634,48,200
Brunei Darussalam,1,0,0,0,0,0
Bulgaria,31,1,1,101,2,3
Burkina Faso,466,9,14,11271,257,326
Burundi,335,4,10,3587,46,105
Cote d'Ivoire,159,9,5,4690,282,135
Cabo Verde,3,0,0,2,0,0
Cambodia,82,3,2,1310,49,38
Cameroon,472,14,14,12989,433,378
Canada,0,0,0,5,0,0
Central African Republic,46,10,1,293,67,8
Chad,335,14,10,6033,270,176
Chile,6,0,0,78,2,2
China,45,2,1,39842,2073,1181
Colombia,11,1,0,490,56,14
Comoros,58,2,2,51,2,2
Congo,308,19,9,1604,103,47
Cook Islands,,0,,,0,
Costa Rica,3,0,0,13,0,0
Croatia,0,0,0,0,0,0
Cuba,2,0,0,12,1,0
Cyprus,3,0,0,1,0,0
Czech Republic,0,0,0,2,0,0
Democratic People's Republic of Korea,144,3,4,2438,42,72
Democratic Republic of the Congo,366,16,11,40458,1943,1180
Denmark,0,0,0,1,0,0
Djibouti,846,31,25,902,33,27
Dominica,0,0,0,0,0,0
Dominican Republic,22,2,1,240,22,7
Ecuador,18,1,0,259,12,8
Egypt,123,2,4,11015,205,320
El Salvador,24,1,1,160,3,5
Equatorial Guinea,0,10,0,0,10,0
Eritrea,255,3,8,1799,28,53
Estonia,0,0,0,0,0,0
