Year,Brand Name,Generic Name,Manufacturer,Indication,Coverage Type,Total Spending,Beneficiary Count,Unit Count,Beneficiary Cost Share,Total Annual Spending Per User,Average Cost Per Unit,Average Annual Beneficiary Cost Share,Claim Count,Beneficiary Count LIS,Beneficiary Count No LIS,Beneficiary Cost Share LIS,Beneficiary Cost Share No LIS,Average Beneficiary Cost Share LIS,Average Beneficiary Cost Share No LIS
2010,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$1,225,884,700.75","338,626","71,848,190","$38,186,677.97","$3,620.17",$17.06,*,"2,296,081","287,370","51,256","$6,931,345.55","$31,255,332.42",$24.12,$609.79
2011,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$1,469,590,338.46","360,670","77,471,756","$33,752,894.08","$4,074.61",$18.97,*,"2,447,867","303,264","57,406","$7,000,137.54","$26,752,756.54",$23.08,$466.03
2012,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$1,758,054,142.51","376,601","82,161,700","$39,700,089.43","$4,668.21",$21.40,*,"2,572,017","310,592","66,009","$6,594,393.26","$33,105,696.17",$21.23,$501.53
2013,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$2,107,091,535.20","396,764","86,150,300","$46,564,692.85","$5,310.69",$24.46,*,"2,886,837","317,698","79,066","$6,872,985.09","$39,691,707.76",$21.63,$502.01
2014,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$2,527,319,031.60","405,161","88,198,691","$49,598,419.68","$6,237.83",$28.65,*,"2,964,075","326,791","78,369","$6,334,112.63","$43,264,307.05",$19.38,$552.06
2010,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$115,553,924.85","6,811","12,379,531","$22,795,393.66","$16,965.78",$9.33,"$3,346.85","54,260",n/a,n/a,n/a,n/a,n/a,n/a
2011,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$121,389,108.26","7,660","12,919,123","$24,065,171.49","$15,847.14",$9.40,"$3,141.67","55,813",n/a,n/a,n/a,n/a,n/a,n/a
2012,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$134,128,475.67","8,392","14,085,125","$26,648,986.33","$15,982.90",$9.52,"$3,175.52","60,473",n/a,n/a,n/a,n/a,n/a,n/a
2013,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$213,007,581.42","14,091","22,660,310","$42,963,406.52","$15,116.57",$9.40,"$3,049.00","97,001",n/a,n/a,n/a,n/a,n/a,n/a
2014,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$276,345,661.22","17,733","29,216,874","$55,960,035.18","$15,583.69",$9.46,"$3,155.70","124,144",n/a,n/a,n/a,n/a,n/a,n/a
2010,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$46,674,175.64","83,767","1,237,941","$9,187,747.76",$557.19,$37.70,$109.68,"158,941",n/a,n/a,n/a,n/a,n/a,n/a
2011,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$20,666,323.55","49,739","519,346","$4,004,426.16",$415.50,$39.79,$80.51,"77,025",n/a,n/a,n/a,n/a,n/a,n/a
2012,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$25,001,727.44","53,227","556,287","$4,820,331.01",$469.72,$44.94,$90.56,"81,928",n/a,n/a,n/a,n/a,n/a,n/a
2013,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$31,015,388.75","54,041","591,927","$5,933,020.73",$573.92,$52.40,$109.79,"81,040",n/a,n/a,n/a,n/a,n/a,n/a
2014,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$38,263,515.60","56,521","631,241","$7,062,091.26",$676.98,$60.62,$124.95,"85,617",n/a,n/a,n/a,n/a,n/a,n/a
2010,Advair Diskus,Fluticasone/Salmeterol,GlaxoSmithKline,Asthma,Part D,"$1,517,126,748.93","1,402,356","423,148,377","$190,818,149.57","$1,081.84",$3.59,*,"6,112,564","745,678","656,678","$15,631,281.70","$175,186,867.87",$20.96,$266.78
2011,Advair Diskus,Fluticasone/Salmeterol,GlaxoSmithKline,Asthma,Part D,"$1,664,850,499.63","1,402,391","436,743,044","$167,710,436.38","$1,187.15",$3.81,*,"6,168,093","737,603","664,788","$15,136,984.62","$152,573,451.76",$20.52,$229.51
2012,Advair Diskus,Fluticasone/Salmeterol,GlaxoSmithKline,Asthma,Part D,"$1,886,310,742.46","1,424,306","452,555,226","$185,236,366.03","$1,324.37",$4.17,*,"6,288,977","736,590","687,716","$14,274,536.91","$170,961,829.12",$19.38,$248.59
2013,Advair Diskus,Fluticasone/Salmeterol,GlaxoSmithKline,Asthma,Part D,"$2,262,995,220.95","1,527,217","492,962,520","$215,089,558.15","$1,481.78",$4.59,*,"6,605,423","734,070","793,147","$14,686,313.18","$200,403,244.97",$20.01,$252.67
