Country; Year,Coverage of measles immunization; Rural,Coverage of measles immunization; Urban
Albania; 2008,97.8,97.6
Armenia; 2005,92.3,89.5
Armenia; 2000,86.3,85
Azerbaijan; 2006,69.6,81
Bangladesh; 2007,84.5,86.3
Bangladesh; 2004,79.7,82.1
Bangladesh; 1999,72.8,80.8
Bangladesh; 1996,76.4,87.3
Bangladesh; 1993,72.6,80
Benin; 2006,63.7,75.3
Benin; 2001,68.4,77.9
Benin; 1996,65,68.7
Bolivia (Plurinational State of); 2008,87.7,85.3
Bolivia (Plurinational State of); 2003,80.6,84.7
Bolivia (Plurinational State of); 1998,66.4,74.8
Bolivia (Plurinational State of); 1994,52.3,70.9
Brazil; 1996,87.4,94.2
Burkina Faso; 2003,62.2,80.2
Burkina Faso; 1998,61,84.2
Burkina Faso; 1993,64.5,77.9
Burkina Faso; 1992,64.5,
Cote d'Ivoire; 1998,65.1,83.8
Cote d'Ivoire; 1994,50.1,71
Cambodia; 2010,82.5,89.4
Cambodia; 2005,77.7,81.3
Cambodia; 2000,54.4,68.6
Cameroon; 2004,65.1,77
Cameroon; 1998,54,72.1
Cameroon; 1991,50.8,67.7
Central African Republic; 1994,47.5,72.8
Chad; 2004,19.8,48.8
Chad; 1996,20.1,46.4
Colombia; 2010,90.5,91.5
Colombia; 2005,88.8,94.4
Colombia; 2000,53.1,50.7
Colombia; 1995,89.2,93.1
Colombia; 1990,87,87.9
Comoros; 1996,68.2,75.8
Congo; 2005,62.4,80.8
Democratic Republic of the Congo; 2007,61.1,80.4
Dominican Republic; 2007,80,83.9
Dominican Republic; 2002,90.2,92.8
Dominican Republic; 1999,90.4,92.6
Dominican Republic; 1996,78,84.7
Egypt; 2008,99.2,99.1
Egypt; 2005,97.5,97.3
Egypt; 2003,96.9,98
Egypt; 2000,96.6,98
Egypt; 1995,89.4,94.9
Ethiopia; 2011,54.7,76.1
Ethiopia; 2005,29.8,66.2
Ethiopia; 2000,26.9,68
Gabon; 2000,52.5,72.8
Ghana; 2008,89.5,94
Ghana; 2003,82.8,90.4
Ghana; 1998,77.2,85.6
Ghana; 1993,60,79.1
Guatemala; 1998,83.9,88.5
Guatemala; 1995,83.2,86.7
Guinea; 2005,56,74.2
Guinea; 1999,49.2,77.5
Guyana; 2009,80,86.1
Haiti; 2005,68,72.3
